GUID,Name,Container,Type,URL,Downloaded
d53935,S2,Root/VAULSC YuJing (75ecf6)/[FF9000]Kanren[-] combi-State2,Custom_Model,https://steamusercontent-a.akamaihd.net/ugc/1762566040434517424/7BD92CCD59122AA034293F6D291C3B4227CF46CC/,Pending
8eff99,[FF9000]Sun Tze[-] BSG,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1458555460934078139/035C9D52AAD63BCD120930E9F455A5B036AA79B1/,Pending
bcf0c9,"[FF9000]Wu Ming[-] Chain, SMG",Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1461934502659430094/529B4795A8ECDDD925D83C309D8B500EBA1AE5B3/,Pending
5f4e39,"[FF9000]Wu Ming[-]LSG, Panzer",Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1461934502659431774/F81497BF0B0FDA416E3BABBFB555B623BA71CBA9/,Pending
8fab03,[FF9000]Wu Ming[-] HMG,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1461934502659431021/A73329C653D689D6AB1900359BE774AAD827561D/,Pending
9175c7,"[8139AA]Shrouded[-]  Combi, Minelayer",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811939477841287/BB133B873A4F23248FDA148971972847D6B918DB/,Pending
72fa1c,"[8138AA]Malignos[-] KHD, SMG",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811939477828490/4FFA7F7905C51838186F91A2A113B66E601BDA91/,Pending
8bd357,[813AAA]Sheskiin[-] Red Fury,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811939477838418/840A8863ADADD13527F70CAE8123C88752891B45/,Pending
420ce4,,Root/VAULSC Combined Army (cc5a67)/[813AAA]Sheskiin[-] Red Fury-State2,Custom_Model,https://steamusercontent-a.akamaihd.net/ugc/1762566040434517424/7BD92CCD59122AA034293F6D291C3B4227CF46CC/,Pending
3579d5,"[813caa]Dãturazi[-] Chain, Smoke",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1016070116566950399/83031D8F630370D147C9CB98641C2FE9434A6C3B/,Pending
6eccbb,[8138AA]Nox[-] Combi,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1010439459765264530/E8EC7A5808821CD2965546E1C803295314E1EB5C/,Pending
af5d59,"[813caa]Ikadron Batroid[-] 2 Flamers, Flash",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811119659717675/CA75462F5FDC3E0358E4202DA33DCFE28E247A81/,Pending
296986,[8138AA]Caliban[-] SMG,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1016069769252091960/7361837958C0E18ADC690E2BEF5B234D20F213FC/,Pending
1d4a46,[813CAA]Fraacta [i](Drop Form)[/i][-] Spitfire,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811119659725872/134585FB4FE3E4063F188253166545C34CE904B5/,Pending
bc7d82,[813CAA]Fraacta [i](Survival Form)[/i][-] Spitfire,Root/VAULSC Combined Army (cc5a67)/[813CAA]Fraacta [i](Drop Form)[/i][-] Spitfire-State2,Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811119659725872/134585FB4FE3E4063F188253166545C34CE904B5/,Pending
917402,[813caa]Taigha[-] DA,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1016069446174646939/9656108C272CA8CB0E891BCEA3ABA328829A9B4A/,Pending
e14096,[813AAA]Boarding Action Sheskiin[-] Red Fury,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811351757045419/7E68F9430FADDBC50F2946046F0540C39C5E4EBB/,Pending
420ce4,,Root/VAULSC Combined Army (cc5a67)/[813AAA]Boarding Action Sheskiin[-] Red Fury-State2,Custom_Model,https://steamusercontent-a.akamaihd.net/ugc/1762566040434517424/7BD92CCD59122AA034293F6D291C3B4227CF46CC/,Pending
287307,"[813caa]Maakrep Tracker[-] MSV2, HMG",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1016070116566952746/F14EAF76F63AE5A4281CA54CACB67B01BB29CFAA/,Pending
494f37,[813AAA]Krakot Renegade[-] x,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1016069983877280787/FFBA8F2F12DCC83EFF457BC41787F0E5AFF154F4/,Pending
661a55,[813CAA]Med-Tech Obsidon Med.[-] Doc/Eng/Journo,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811119659737363/8B366C94C1A78E58135912B4A4F69EFE1F76B106/,Pending
ec0f6d,"[813caa]Raicho[-] M HMG, Mine D.",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811351757042758/1C0C244A97BA38F8C6C096D71B97D3CB49F73781/,Pending
acdc51,[813CAA]Imetron[-],Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1016069769252093817/4BA1A1F4DF1AC48A36282B92256C22B95B331A5B/,Pending
a6f376,"[8139AA]Shrouded[-] KHD, Combi",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1016070116567013015/35DB2DC267A3BF48D400077F85C6AE6D292C778B/,Pending
6c24a0,[813caa]Slave Drone[-],Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811119659738242/6D070D58A1B0C026A892BC8D99EA1935BAEE5718/,Pending
265a99,"[813CAA]Morat[-] HD, Combi",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1016070116567052076/B2D4ACB1354BA507EA52D56BE1E921A319CA3AFC/,Pending
b729a0,[813caa]Q-Drone[-] HMG total reaction,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811119654880078/ED615B3418D70F241D6A9841BAC609CFECFBE94F/,Pending
1d822d,E-Drone,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1016069769251683191/7124E35654B2A2DEB852DD0D3675D2D1AEBD3E46/,Pending
d53fe9,[813caa]Nexus Operative[-] x,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811119659702660/CE8C8364FECEFD9BDABC9EF89DC6CF127370FA0C/,Pending
44eb62,[813caa]Taigha[-] DA,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811939477823212/DFD99976C5394374D4BC7ECD06FA1F2D995639C0/,Pending
612f14,[813caa]Anathematic[-] x,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1031834104879171184/FD826B63ED266F12CC9BDB738B33035A856A7C04/,Pending
494638,[813CAA]Noctifer[-] ML,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1031834249370421439/3A002B6B3F0069E748D46657B67472210F60233B/,Pending
3ca36e,[813CAA]TO Camo Marker #X (S2)[-],Root/VAULSC Combined Army (cc5a67)/[813CAA]Noctifer[-] ML-State2,Custom_Model,https://steamusercontent-a.akamaihd.net/ugc/1762566040434517424/7BD92CCD59122AA034293F6D291C3B4227CF46CC/,Pending
0deb5e,[8138AA]Mentor[-] BSG,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1031834249370417854/68DCD786B9BD3C0183BA0A8F386C29BF83C58B01/,Pending
6174bb,[813caa]Overdron[-] 2x HRL,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1031834524616374385/E9C3B69633BF8B31C1EDD904FE374E6BE4275766/,Pending
ef4aac,[813CAA]Umbra Legate[-] Spitfire,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1031834524616378299/70A6FDBB664698203290E8F2D855C956E6BD4756/,Pending
5cdb17,[813CAA]Umbra Samaritan[-] Breaker,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1166943715546186960/CBB129D46F61AA125E3D28E914B566350F57942A/,Pending
66c958,"[813caa]Unidron Batroid[-] K1 Combi, TinBot A",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1458555028225784410/303762C68920FC6DF3631B8D4E7A2DDABEB89722/,Pending
c03ef0,[813caa]Unidron Batroid[-] P Carbine,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1458555028225785818/906689E43AAD5309D9680FE92593FFEDB65A0C21/,Pending
cdec00,"[813caa]Unidron Batroid[-] P Carbine, FO",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1458555028225783663/6D08C5672CE5321CF06066DD465DCFD6A6BD3CFB/,Pending
6ac99a,"[813AAA]Kerr-Nau[-] KHD, P Rf",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1458555028225782651/7F3657C9726690D1DBD8F29C3E629090674344FF/,Pending
242d5b,,"Root/VAULSC Combined Army (cc5a67)/[813AAA]Kerr-Nau[-] KHD, P Rf-State2",Custom_Model,https://steamusercontent-a.akamaihd.net/ugc/1762566040434517424/7BD92CCD59122AA034293F6D291C3B4227CF46CC/,Pending
e26d84,[813caa]Unidron Batroid[-] P Sniper,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1458555028225786760/2A1092E794E4FBF34D26E30688DEE53DA2553E22/,Pending
82407a,"[813caa]Avatar[-] M HMG, Sepsitor+",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1242379329050331156/EF1A85D7B5200F797E77E867B59EC5D12A068C2E/,Pending
42acb5,[813AAA]Bit[-] KHD,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1458555028230156785/2A58CAB570CF3DFEC38FC4A124ACC2E229B08CE1/,Pending
88a307,,Root/VAULSC Combined Army (cc5a67)/[813AAA]Bit[-] KHD-State2,Custom_Model,https://steamusercontent-a.akamaihd.net/ugc/1762566040434517424/7BD92CCD59122AA034293F6D291C3B4227CF46CC/,Pending
dcdc60,[813AAA]KISS![-] ADHL,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1458555028230158375/4AE870CEC1E1B0E45F2981F545B57CEA0FB63471/,Pending
feb159,,Root/VAULSC Combined Army (cc5a67)/[813AAA]KISS![-] ADHL-State2,Custom_Model,https://steamusercontent-a.akamaihd.net/ugc/1762566040434517424/7BD92CCD59122AA034293F6D291C3B4227CF46CC/,Pending
a3e82c,"[8138AA]Charontid[-] MSV3, HMG",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1455177030598043274/1637EC127D48C47327D04E93FF8E8FD0047C55DD/,Pending
95e25f,"[813caa]Zerat[-] AHD, Combi",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1458555460934079085/7F90B0C23495511201FDFD6215250FBF3ACE75B6/,Pending
bd8b09,"[813caa]Dãturazi[-] Chain, Smoke",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1458555460934077035/1B1928C357474E0993FC0D547A75FD80E5D87B19/,Pending
62113f,"[813caa]Ikadron Batroid[-] 2 Flamers, Flash",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1584659528208877120/1F8953788E2F0837B95FD09914E52B69D5E692B8/,Pending
dc91d9,[813CAA]Noctifer[-] Spitfire,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1584659528208876082/8B25F2D74BEDD6C38FAA164A33B391AF4643722B/,Pending
bc24b9,"[813caa]Sphinx[-] Spitfire, 2 Heavy Flamers",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1584659528208874896/340EAFF1D6944110842CF5A5ED7C47F2F92EFA21/,Pending
e7ab6e,"[A02BFF]KO DALI[-] Combi, Combat Jump",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1644336213202878191/5CDA7D7B3A53394A544B7DE1F92438850999B9B7/,Pending
219dbc,"[A02BFF]VICTOR MESSER[-] BSG, HD",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1680393048681454699/E974884DBCB535AA68536403D2C066A42D0D82E2/,Pending
7987a6,[A02BFF]KO DALI FTO[-] MULTI Rifle,Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1680393048681261420/D8C0A09730CAFC12DCF52000204D8A7C4E84D5BE/,Pending
11f0a7,"[A02BFF]NOURKIAS[-] Breaker Combi, KHD",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1777212333549170787/B8F89047AD14476010701F2B2D6BAA1EF5F188CD/,Pending
12fa21,"[813CAA]SHROUDED[-] Combi, Shock Mines",Root/VAULSC Combined Army (cc5a67),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1848177543357217444/B03EEFBFBAC7CFB3AC2198FCD108839AD2637CF0/,Pending
95fdc8,[4e4777]Omega[-] HMG,Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811252612587090/98DB41BA4FF890F5E8C2F897204C908FC71376C6/,Pending
58560e,[4e4777]SiriusBot[-],Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811351757044346/9C63D7D96C338E64C7B2A417AC4D752E4FA51E00/,Pending
bdd0df,"[4e4777]Betatrooper[-] M.Rf, Specialist",Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811351755964969/AF099BC425116BCE1CA19B821FB21DCC93063D5A/,Pending
239562,[4e4777]Kappa[-] Combi,Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811252612583982/83F2FC46502B9BD890667DE3F452E0888C9068E4/,Pending
4489d5,[4e4777]Cuervo Goldstein[-] BSG,Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811351755967412/89C11C3171080DC2B41AD9C66954CD165EEF3FCA/,Pending
16b175,"[4e4777]Sirius[-] BSG, FO",Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811351755957429/2554B4D536937588264DF1BC4DB9EEC95AF032A1/,Pending
e28010,[4e4777]Gamma[-] Feuerbach,Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811252612579393/CDEACBA8295450152F2221EF38142B39F1DF8DE4/,Pending
1e8a1e,[4e4777]Lambda[-] Doctor,Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811351755951294/2178E5A973EEBFE9DA6C9F5BDDC311F07A0A35D0/,Pending
785176,[4e4777]Kappa[-] Combi,Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811252612581552/844BECC71FC916BB973FBE0B323C0115474AD5E5/,Pending
016680,[4e4777]Delta FO[-] Combi + LR,Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811252612576493/62E9C3D75E904ED6F8670E246EE0A2699683668A/,Pending
67d79c,[4e4777]Epsilon[-] M Sniper,Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811351755953364/A9C7909E82D1FD93C0411D048473105D48B164A2/,Pending
787802,[4e4777]Gangbuster[-] BSG,Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811351755955252/18E17329451EEBAD448D8E8A5C03FA386E2F1255/,Pending
5af6f5,[4e4777]Hippolyta[-] Amazon Officer,Root/Vaulsc's full 0-12 collection (a2441b),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811351755961295/C375506F4710FED40C11D5A62ECDD2C4397041C4/,Pending
69f991,"[20B09A]Valkyrie, Elite Bodyguard[-] M Rf",Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811351757049811/11F073334A0AA98866027D33F14CE3E8E46F590F/,Pending
ac4b10,Tanko[-] ML,Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811655683762732/E1C3451A866AAC0D8FC8CFA417C3D5845087BAE1/,Pending
3bed7d,,Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811655684835136/BB15DB9DA289763DD77677AA97719DB883A13E65/,Pending
22d261,Tanko[-] Flamenspeer,Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811655683766452/F1290809A78AA3924C123DF281CE28162D013207/,Pending
be99e3,[FDC509]Desperado[-] x,Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811767756523682/E51053A4841EC08E89158A632934B486FF94CC27/,Pending
8eccf0,[FDC509]Yuan Yuan[-] Chain,Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811522586047008/3F7106E0708F89214F8AA6ED0EA9DC285AC83E9C/,Pending
dcac84,[5B5538]McMurrough[-],Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004812207729389823/0520A75898D88377906402740448671C8EBFFA29/,Pending
add8e1,"Libertos LSG, Minelayer",Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1016069983877278971/2F5E8B4238827049B54712358AF865D9248D7651/,Pending
30811f,"[B3B2B2]Scarface[-] 2 Mk12, HRL",Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1031834524616375255/C2C2FB18B3B288AF9F99E2D273580B932111897B/,Pending
b09e4e,S7,"Root/Vaulsc's NA2 (eaa8fd)/[B3B2B2]Scarface[-] 2 Mk12, HRL-State2",Custom_Model,https://www.dropbox.com/s/1mbukb0jcg53k53/Silhouette7.obj?dl=1,Pending
772b0d,John Hawkwood[-] Red Fury,Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1461934502659869042/F03D5C9F9AB9F96BD065222042F0DC651C695E12/,Pending
772b0d,"[20B09A]Hannibal[-] Marksman, Strategos",Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1461934502659869042/F03D5C9F9AB9F96BD065222042F0DC651C695E12/,Pending
fd77e7,[AAAAAA]AUTHORIZED BOUNTY HUNTER[-] SMG,Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1643214254022988112/F0FD74E53DD470B661F24DAF591E1C2BA4C4D527/,Pending
63105a,[AAAAAA]VALERYA GROMOZ[-] Hacker,Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1643214254022990443/66501EDCD552CB99F52A7F44BF038223BED75D4F/,Pending
8bc564,"[1FB09A]WILD BILL[-] M Pistol, Contender",Root/Vaulsc's NA2 (eaa8fd),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1750181494233060440/EB69941C2B12B84D4AA72894586BA7AE5E64E95F/,Pending
0aa48b,[FF9000]Yan Huo[-] 2 ML neurocinetics,Root/Zulu's YuJing (6aa513),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1017196946783699488/3A2474DCF3274B37631F475273BB3A904BA226C7/,Pending
fb995d,[ff9000]TinBot B[-] Deflector L2,Root/Zulu's YuJing (6aa513),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1017197106701506855/2F9F13F6B5C611F6AE54199A02D6E1BD498C28D9/,Pending
39e462,[FF9000]Yan Huo[-] Hyper Mag Cannon,Root/Zulu's YuJing (6aa513),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1017196946783644472/BECD7A01B9B7D4A6929A5474A6E38ED0B610E5D6/,Pending
5e304f,[FF9000]Tiger Soldier[-] Spitfire,Root/Zulu's YuJing (6aa513),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1044219148021343368/80765AA2C80835DF187950905B1FC7D3F1E6C145/,Pending
